Frame_Index,Frame_Name,Predicted_Speed_m/s
408,video_frame_000408.png,1.148446
409,video_frame_000409.png,0.940326
410,video_frame_000410.png,0.804822
411,video_frame_000411.png,0.827009
412,video_frame_000412.png,0.854568
413,video_frame_000413.png,0.936029
414,video_frame_000414.png,1.052496
415,video_frame_000415.png,1.148300
416,video_frame_000416.png,1.216789
417,video_frame_000417.png,1.234715
418,video_frame_000418.png,1.290606
419,video_frame_000419.png,1.358146
420,video_frame_000420.png,1.526886
421,video_frame_000421.png,1.483724
422,video_frame_000422.png,1.345819
423,video_frame_000423.png,1.148802
424,video_frame_000424.png,1.025802
425,video_frame_000425.png,0.905366
426,video_frame_000426.png,0.875112
427,video_frame_000427.png,0.837816
428,video_frame_000428.png,0.794524
429,video_frame_000429.png,0.775941
430,video_frame_000430.png,0.768639
431,video_frame_000431.png,0.695243
432,video_frame_000432.png,0.690050
433,video_frame_000433.png,0.727050
434,video_frame_000434.png,0.675040
435,video_frame_000435.png,0.675674
436,video_frame_000436.png,0.721804
437,video_frame_000437.png,0.758164
438,video_frame_000438.png,0.771545
439,video_frame_000439.png,0.767573
440,video_frame_000440.png,0.719521
441,video_frame_000441.png,0.709379
442,video_frame_000442.png,0.714744
443,video_frame_000443.png,0.716428
444,video_frame_000444.png,0.717485
445,video_frame_000445.png,0.745794
446,video_frame_000446.png,0.700678
447,video_frame_000447.png,0.627862
448,video_frame_000448.png,0.575237
449,video_frame_000449.png,0.543347
450,video_frame_000450.png,0.536583
451,video_frame_000451.png,0.537022
452,video_frame_000452.png,0.531756
453,video_frame_000453.png,0.544663
454,video_frame_000454.png,0.549925
455,video_frame_000455.png,0.560781
456,video_frame_000456.png,0.547836
457,video_frame_000457.png,0.539739
458,video_frame_000458.png,0.532757
459,video_frame_000459.png,0.521299
460,video_frame_000460.png,0.534134
461,video_frame_000461.png,0.530250
462,video_frame_000462.png,0.545105
463,video_frame_000463.png,0.555256
464,video_frame_000464.png,0.567943
465,video_frame_000465.png,0.557196
466,video_frame_000466.png,0.556139
467,video_frame_000467.png,0.563830
468,video_frame_000468.png,0.568765
469,video_frame_000469.png,0.576871
470,video_frame_000470.png,0.570878
471,video_frame_000471.png,0.580231
472,video_frame_000472.png,0.577794
473,video_frame_000473.png,0.542832
474,video_frame_000474.png,0.509950
475,video_frame_000475.png,0.503004
476,video_frame_000476.png,0.499889
477,video_frame_000477.png,0.507105
478,video_frame_000478.png,0.538064
479,video_frame_000479.png,0.593890
480,video_frame_000480.png,0.654839
481,video_frame_000481.png,0.629546
482,video_frame_000482.png,0.625820
483,video_frame_000483.png,0.626499
484,video_frame_000484.png,0.629214
485,video_frame_000485.png,0.644124
486,video_frame_000486.png,0.687448
487,video_frame_000487.png,0.774911
488,video_frame_000488.png,0.784386
489,video_frame_000489.png,0.767504
490,video_frame_000490.png,0.730547
491,video_frame_000491.png,0.705148
492,video_frame_000492.png,0.721993
493,video_frame_000493.png,0.734448
494,video_frame_000494.png,0.731224
495,video_frame_000495.png,0.739169
496,video_frame_000496.png,0.702337
497,video_frame_000497.png,0.617952
498,video_frame_000498.png,0.552179
499,video_frame_000499.png,0.526931
500,video_frame_000500.png,0.520831
501,video_frame_000501.png,0.527502
502,video_frame_000502.png,0.557978
503,video_frame_000503.png,0.618580
504,video_frame_000504.png,0.682144
505,video_frame_000505.png,0.680778
506,video_frame_000506.png,0.641448
507,video_frame_000507.png,0.700011
508,video_frame_000508.png,1.068061
509,video_frame_000509.png,1.835159
510,video_frame_000510.png,5.921813
511,video_frame_000511.png,11.871422
512,video_frame_000512.png,13.341242
513,video_frame_000513.png,14.135393
514,video_frame_000514.png,14.226204
515,video_frame_000515.png,14.376574
516,video_frame_000516.png,14.538184
517,video_frame_000517.png,14.516466
518,video_frame_000518.png,14.231421
519,video_frame_000519.png,12.915297
520,video_frame_000520.png,3.978764
521,video_frame_000521.png,2.928051
522,video_frame_000522.png,1.562078
523,video_frame_000523.png,0.726305
524,video_frame_000524.png,0.688801
525,video_frame_000525.png,0.725507
526,video_frame_000526.png,0.731031
527,video_frame_000527.png,0.751587
528,video_frame_000528.png,0.832078
529,video_frame_000529.png,0.895307
530,video_frame_000530.png,0.913821
531,video_frame_000531.png,0.856502
532,video_frame_000532.png,0.837200
533,video_frame_000533.png,0.850299
534,video_frame_000534.png,0.871856
535,video_frame_000535.png,0.886448
536,video_frame_000536.png,0.881418
537,video_frame_000537.png,0.867105
538,video_frame_000538.png,0.825737
539,video_frame_000539.png,0.753010
540,video_frame_000540.png,0.731756
541,video_frame_000541.png,0.760887
542,video_frame_000542.png,0.761671
543,video_frame_000543.png,0.754371
544,video_frame_000544.png,0.773325
545,video_frame_000545.png,0.825248
546,video_frame_000546.png,0.872198
547,video_frame_000547.png,0.899625
548,video_frame_000548.png,0.851315
549,video_frame_000549.png,0.807479
550,video_frame_000550.png,0.773743
551,video_frame_000551.png,0.754675
552,video_frame_000552.png,0.754913
553,video_frame_000553.png,0.783291
554,video_frame_000554.png,0.770753
555,video_frame_000555.png,0.729312
556,video_frame_000556.png,0.656413
557,video_frame_000557.png,0.637149
558,video_frame_000558.png,0.642314
559,video_frame_000559.png,0.650966
560,video_frame_000560.png,0.657396
561,video_frame_000561.png,0.707663
562,video_frame_000562.png,0.720851
563,video_frame_000563.png,0.688691
564,video_frame_000564.png,0.622251
565,video_frame_000565.png,0.608669
566,video_frame_000566.png,0.608801
567,video_frame_000567.png,0.620204
568,video_frame_000568.png,0.620133
569,video_frame_000569.png,0.653538
570,video_frame_000570.png,0.693573
571,video_frame_000571.png,0.700539
572,video_frame_000572.png,0.698406
573,video_frame_000573.png,0.717774
574,video_frame_000574.png,0.768233
575,video_frame_000575.png,0.767012
576,video_frame_000576.png,0.769333
577,video_frame_000577.png,0.781527
578,video_frame_000578.png,0.817657
579,video_frame_000579.png,0.814712
580,video_frame_000580.png,0.756410
581,video_frame_000581.png,0.700493
582,video_frame_000582.png,0.671213
583,video_frame_000583.png,0.656283
584,video_frame_000584.png,0.661026
585,video_frame_000585.png,0.656073
586,video_frame_000586.png,0.682279
587,video_frame_000587.png,0.702500
588,video_frame_000588.png,0.722503
589,video_frame_000589.png,0.649246
590,video_frame_000590.png,0.626121
591,video_frame_000591.png,0.629641
592,video_frame_000592.png,0.645617
593,video_frame_000593.png,0.646423
594,video_frame_000594.png,0.675673
595,video_frame_000595.png,0.667376
596,video_frame_000596.png,0.614223
597,video_frame_000597.png,0.548050
598,video_frame_000598.png,0.555838
599,video_frame_000599.png,0.567193
600,video_frame_000600.png,0.568799
601,video_frame_000601.png,0.570378
602,video_frame_000602.png,0.571727
603,video_frame_000603.png,0.621303
604,video_frame_000604.png,0.674524
605,video_frame_000605.png,0.702369
606,video_frame_000606.png,0.742008
607,video_frame_000607.png,0.756837
608,video_frame_000608.png,0.741379
609,video_frame_000609.png,0.734065
610,video_frame_000610.png,0.744033
611,video_frame_000611.png,0.786213
612,video_frame_000612.png,0.823444
613,video_frame_000613.png,0.785007
614,video_frame_000614.png,0.673436
615,video_frame_000615.png,0.607598
616,video_frame_000616.png,0.592274
617,video_frame_000617.png,0.601654
618,video_frame_000618.png,0.613316
619,video_frame_000619.png,0.654559
